Name,Population,Sq Mi,X,Y,Zip Code,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,7/6/20,7/7/20,7/9/20,7/10/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/23/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/12/20,8/13/20,8/14/20,8/16/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/26/20,8/28/20,8/31/20,9/2/20,9/3/20,9/6/20,9/7/20,9/8/20,9/9/20,9/13/20,9/15/20,9/16/20,9/18/20,9/21/20,9/23/20,9/24/20,9/29/20,10/5/20,10/6/20,10/7/20,10/11/20,10/12/20,10/13/20,10/19/20,10/21/20,10/22/20,10/23/20,10/26/20,10/28/20,10/29/20,10/30/20,11/4/20,11/6/20,11/8/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/9/2020,1/6/2021,1/8/2021,1/10/2021,1/11/2021,1/12/2021,1/14/2021,1/15/2021,1/21,1/23,1/24,1/25,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/4/2021,2/6/2021,2/7/2021,2/9/2021,2/11/2021,2/16/2021,2/17/2021,2/22/2021,2/24/2021,3/2/2021,4/12/2021,4/14/2021,4/18/2021,5/9/2021,5/11/2021,5/15/2021,5/26/2021,9/3/2021,12/31/2021,1/3/2021,1/6/2022,1/10/2022,1/13/2022,1/18/2022,1/19/2022,1/21/2022,1/24/2022,1/25/2022,1/26/2022,1/27/2022,1/28/2022,1/31/2022,2/2/2022,2/4/2022,2/7/2022,2/10/2022,2/11/2022,2/16/2022,2/19/2022,2/25/2022,3/10/2022,3/14/2022,3/22/2022,4/7/2022,4/14/2022,5/9/2022,5/26/2022,5/31/2022,12/5/2022
Collins,1922,26.0,42.49089,-78.8573,14034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,9,9,9,11,11,11,11,11,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,15,15,15,15,15,15,15,27,27,57,57,57,70,70,70,70,87,87,87,101,101,101,101,121,121,121,121,138,138,166,166,166,171,173,208,219,219,234,235,235,237,251,396,396,412,412,412,412,490,490,490,490,490,541,541,541,553,553,553,569,569,569,569,581,588,588,590,591,593,609,643,643,740
Cowlesville,1081,17.91,42.8054,-78.4507,14037,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,12,12,12,12,13,17,17,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,26
Depew,25714,9.15,42.89925,-78.70735,14043,92,95,96,98,98,98,99,99,99,100,100,100,100,103,104,104,104,106,106,106,108,110,110,110,110,112,113,115,115,117,117,117,117,117,117,117,119,119,119,119,119,119,119,118,118,119,119,119,124,124,124,124,124,124,131,133,134,135,137,137,137,137,146,146,146,149,149,149,152,154,154,157,159,161,163,163,164,164,172,173,173,173,175,183,183,183,199,199,199,234,234,234,234,234,303,303,303,303,303,303,303,303,402,402,428,428,428,428,428,521,521,521,521,521,521,521,624,624,1054,1054,1054,1197,1197,1197,1197,1295,1295,1295,1393,1393,1393,1393,1476,1476,1476,1476,1523,1523,1580,1580,1580,1619,1655,1931,2009,2009,2148,2173,2173,2190,2344,3710,3710,3996,3996,3996,3996,4930,4930,4930,4930,4930,5148,5148,5148,5317,5317,5317,5412,5412,5412,5412,5480,5519,5519,5540,5550,5627,5949,6285,6285,7248
Derby,6463,12.32,42.69266,-78.9934,14047,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,22,22,22,22,22,22,23,23,23,25,25,26,26,26,26,26,26,27,27,27,30,32,32,32,34,34,34,43,43,43,43,43,70,70,70,70,70,70,70,70,99,99,105,105,105,105,105,117,117,117,117,117,117,117,157,157,241,241,241,276,276,276,276,299,299,299,321,321,321,321,342,342,342,342,354,354,364,364,364,372,388,486,511,511,548,555,555,564,597,974,974,1047,1047,1047,1047,1217,1217,1217,1217,1217,1300,1300,1300,1341,1341,1341,1357,1357,1357,1357,1385,1390,1390,1402,1412,1428,1480,1577,1577,1818
East Amherst,20690,16.19,43.0442,-78.695,14051,78,79,79,79,79,79,81,81,81,81,81,84,84,88,88,88,88,94,95,97,100,102,102,103,103,107,109,111,111,114,114,115,115,115,115,115,121,121,121,121,121,121,121,126,126,130,130,130,133,134,134,134,134,134,135,135,136,140,141,141,141,141,150,151,151,156,157,157,160,161,161,164,167,168,170,170,173,173,179,179,179,179,192,198,198,198,212,212,212,237,237,237,237,237,291,291,291,291,291,291,291,291,356,356,377,377,377,377,377,430,430,430,430,430,430,430,521,521,822,822,822,918,918,918,918,1003,1003,1003,1066,1066,1066,1066,1127,1127,1127,1127,1173,1173,1209,1209,1209,1237,1277,1480,1533,1533,1627,1642,1642,1656,1764,2769,2769,3072,3072,3072,3072,3760,3760,3760,3760,3760,3882,3882,3882,4027,4027,4027,4078,4078,4078,4078,4125,4152,4152,4172,4191,4272,4525,4805,4805,5623
East Aurora,17482,62.71,42.775,-78.5753,14052,240,242,242,243,243,243,243,243,243,243,245,245,245,248,248,248,248,249,249,249,250,250,250,252,252,252,252,253,253,253,253,253,253,253,253,253,259,259,259,260,260,260,260,264,264,265,265,265,265,265,265,265,265,265,267,268,269,271,273,273,273,273,276,277,277,280,280,280,287,290,290,291,291,294,294,294,297,297,310,309,309,309,311,312,312,312,323,323,323,344,344,344,344,344,377,377,377,377,377,377,377,377,413,413,441,441,441,441,441,498,498,498,498,498,498,498,574,574,802,802,802,889,889,889,889,968,968,968,1026,1026,1026,1026,1077,1077,1077,1077,1108,1108,1188,1188,1188,1229,1265,1497,1558,1558,1658,1669,1669,1680,1776,2634,2634,2901,2901,2901,2901,3432,3432,3432,3432,3432,3557,3557,3557,3658,3658,3658,3718,3718,3718,3718,3772,3794,3794,3814,3828,3879,4070,4240,4240,4772
East Concord,1312,29.7,42.5468,-78.5954,14055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,13,13,13,13,13,13,13,18,18,31,31,31,38,38,38,38,43,43,43,51,51,51,51,52,52,52,52,53,53,55,55,55,58,60,75,76,76,91,93,93,97,106,190,190,197,197,197,197,256,256,256,256,256,264,264,264,275,275,275,285,285,285,285,293,296,296,296,296,298,318,340,340,378
Eden,7934,48.1,42.652283,-78.89698,14057,17,17,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,26,28,31,32,32,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,75,75,75,75,75,77,77,77,77,77,77,80,80,81,81,81,81,81,81,80,80,80,82,83,83,85,86,86,88,88,88,87,87,87,87,87,87,87,87,88,88,88,88,90,90,90,101,101,101,101,101,131,131,131,131,131,131,131,131,195,195,210,210,210,210,210,240,240,240,240,240,240,240,279,279,382,382,382,402,402,402,402,414,414,414,429,429,429,429,463,463,463,463,487,487,510,510,510,535,559,645,672,672,714,723,723,730,770,1235,1235,1316,1316,1316,1316,1571,1571,1571,1571,1571,1669,1669,1669,1711,1711,1711,1732,1732,1732,1732,1753,1759,1759,1766,1769,1789,1890,1978,1978,2267
Elma,9381,26.72,42.8255,-78.62666,14059,34,34,34,34,34,34,34,34,34,34,34,39,39,39,39,39,39,39,39,41,43,45,45,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,53,53,53,53,54,54,55,56,56,57,57,59,60,60,60,60,62,64,64,64,67,67,67,67,70,70,70,96,96,96,96,96,136,136,136,136,136,136,136,136,166,166,181,181,181,181,181,210,210,210,210,210,210,210,257,257,415,415,415,471,471,471,471,527,527,527,569,569,569,569,594,594,594,594,628,628,654,654,654,673,703,817,840,840,876,880,880,884,939,1408,1408,1527,1527,1527,1527,1821,1821,1821,1821,1821,1873,1873,1873,1915,1915,1915,1959,1959,1959,1959,1991,2001,2001,2013,2022,2045,2155,2267,2267,2571
Getzville,8374,3.8,43.0269,-78.762,14068,175,175,177,179,180,180,182,182,182,183,183,183,183,184,184,184,184,186,186,186,188,188,188,188,188,190,190,191,191,191,191,192,192,192,192,192,194,194,194,195,195,195,195,194,194,195,195,195,195,195,195,195,195,195,197,197,197,198,198,198,198,198,199,199,199,200,201,201,201,204,204,205,205,207,208,208,208,208,213,213,213,213,214,215,215,215,221,221,221,232,232,232,232,232,265,265,265,265,265,265,265,265,297,297,301,301,301,301,301,326,326,326,326,326,326,326,357,357,456,456,456,507,507,507,507,540,540,540,569,569,569,569,585,585,585,585,599,599,617,617,617,630,650,710,719,719,754,756,756,758,788,1104,1104,1192,1192,1192,1192,1460,1460,1460,1460,1460,1502,1502,1502,1547,1547,1547,1561,1561,1561,1561,1597,1610,1610,1618,1621,1635,1737,1858,1858,2167
