Name,Population,Sq Mi,X,Y,Zip Code,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,7/6/20,7/7/20,7/9/20,7/10/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/23/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/12/20,8/13/20,8/14/20,8/16/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/26/20,8/28/20,8/31/20,9/2/20,9/3/20,9/6/20,9/7/20,9/8/20,9/9/20,9/13/20,9/15/20,9/16/20,9/18/20,9/21/20,9/23/20,9/24/20,9/29/20,10/5/20,10/6/20,10/7/20,10/11/20,10/12/20,10/13/20,10/19/20,10/21/20,10/22/20,10/23/20,10/26/20,10/28/20,10/29/20,10/30/20,11/4/20,11/6/20,11/8/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/9/2020,1/6/2021,1/8/2021,1/10/2021,1/11/2021,1/12/2021,1/14/2021,1/15/2021,1/21,1/23,1/24,1/25,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/4/2021,2/6/2021,2/7/2021,2/9/2021,2/11/2021,2/16/2021,2/17/2021,2/22/2021,2/24/2021,3/2/2021,4/12/2021,4/14/2021,4/18/2021,5/9/2021,5/11/2021,5/15/2021,5/26/2021,9/3/2021,12/31/2021,1/3/2021,1/6/2022,1/10/2022,1/13/2022,1/18/2022,1/19/2022,1/21/2022,1/24/2022,1/25/2022,1/26/2022,1/27/2022,1/28/2022,1/31/2022,2/2/2022,2/4/2022,2/7/2022,2/10/2022,2/11/2022,2/16/2022,2/19/2022,2/25/2022,3/10/2022,3/14/2022,3/22/2022,4/7/2022,4/14/2022,5/9/2022,5/26/2022,5/31/2022,12/5/2022
Glenwood,678,5.42,42.6057,-78.6191,14069,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,15,15,20,20,20,23,23,23,23,24,24,24,26,26,26,26,27,27,27,27,28,28,32,32,32,35,36,43,44,44,44,45,45,45,46,93,93,101,101,101,101,125,125,125,125,125,130,130,130,130,130,130,135,135,135,135,136,138,138,138,139,141,150,161,161,189
Gowanda,7706,44.41,42.44377,-78.90769,14070,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,20,20,22,22,21,21,21,21,21,21,21,21,23,23,23,29,29,29,29,29,36,36,36,36,36,36,36,36,41,41,45,45,45,45,45,53,53,53,53,53,53,53,67,67,138,138,138,147,147,147,147,190,190,190,205,205,205,205,228,228,228,228,242,242,260,260,260,266,267,308,311,311,334,335,335,341,348,531,531,572,572,572,572,631,631,631,631,631,695,695,695,717,717,717,734,734,734,734,742,750,750,755,755,761,785,821,821,946
Grand Island,20809,33.26,43.0119,-78.9559,14072,82,84,84,87,89,89,91,91,91,94,94,94,94,95,95,95,95,105,109,111,111,116,116,117,117,119,120,124,124,126,126,129,129,129,129,129,132,132,132,135,135,135,135,136,136,136,136,136,138,138,138,138,138,138,140,139,139,143,153,153,153,153,158,157,157,158,160,160,163,163,163,172,175,178,179,179,183,183,188,188,188,188,194,199,199,199,224,224,224,256,256,256,256,256,316,316,316,316,316,316,316,316,381,381,396,396,396,396,396,460,460,460,460,460,460,460,594,594,968,968,968,1115,1115,1115,1115,1220,1220,1220,1314,1314,1314,1314,1371,1371,1371,1371,1437,1437,1492,1492,1492,1525,1557,1759,1833,1833,1942,1963,1963,1985,2086,3327,3327,3630,3630,3630,3630,4495,4495,4495,4495,4495,4660,4660,4660,4812,4812,4812,4892,4892,4892,4892,4958,5009,5009,5050,5064,5118,5379,5662,5662,6578
Hamburg,43111,38.97,42.716,-78.82434,14075,209,210,210,210,210,210,210,210,210,210,210,220,220,225,232,232,232,239,239,243,247,252,252,256,256,256,257,258,258,260,260,261,261,261,261,261,274,274,274,278,278,278,278,280,280,280,280,280,282,283,283,283,283,283,284,285,287,292,293,293,293,293,298,300,300,313,315,315,328,330,330,342,346,349,354,354,359,359,365,369,369,369,392,404,404,404,453,453,453,554,554,554,554,554,786,786,786,786,786,786,786,786,1019,1019,1090,1090,1090,1090,1090,1249,1249,1249,1249,1249,1249,1249,1486,1486,2050,2050,2050,2265,2265,2265,2265,2427,2427,2427,2569,2569,2569,2569,2688,2688,2688,2688,2832,2832,2953,2953,2953,3038,3120,3653,3784,3784,3990,4021,4021,4038,4272,6756,6756,7346,7346,7346,7346,8867,8867,8867,8867,8867,9271,9271,9271,9540,9540,9540,9667,9667,9667,9667,9831,9900,9900,9941,9975,10114,10703,11381,11381,13262
Holland,4460,50.61,42.6405,-78.5435,14080,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,22,22,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,28,28,31,31,31,31,32,33,33,33,33,33,33,35,35,35,35,35,44,44,44,44,44,44,44,44,59,59,59,59,59,59,59,66,66,66,66,66,66,66,83,83,142,142,142,157,157,157,157,196,196,196,217,217,217,217,233,233,233,233,243,243,254,254,254,263,270,324,335,335,359,360,360,371,387,645,645,692,692,692,692,841,841,841,841,841,860,860,860,890,890,890,897,897,897,897,912,916,916,919,920,929,960,994,994,1111
Irving,3204,40.63,42.4617,-79.027,14081,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,12,12,12,16,16,16,16,16,21,21,21,21,21,21,21,21,32,32,36,36,36,36,36,47,47,47,47,47,47,47,57,57,107,107,107,113,113,113,113,120,120,120,127,127,127,127,132,132,132,132,146,146,148,148,148,152,159,185,192,192,200,205,205,215,218,353,353,362,362,362,362,406,406,406,406,406,483,483,483,498,498,498,518,518,518,518,529,533,533,536,537,543,590,629,629,775
Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,19,19,19,19,19,19,19,19,19,19,19,23,23,23,23,23,23,23,24,25,26,28,28,31,31,33,34,34,34,36,36,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,41,41,41,43,44,44,44,44,44,45,45,45,45,45,45,45,46,46,46,46,46,47,47,47,57,57,57,77,77,77,77,77,106,106,106,106,106,106,106,106,144,144,154,154,154,154,154,179,179,179,179,179,179,179,220,220,348,348,348,390,390,390,390,425,425,425,464,464,464,464,484,484,484,484,505,505,529,529,529,540,557,716,746,746,780,783,783,785,826,1282,1282,1413,1413,1413,1413,1711,1711,1711,1711,1711,1796,1796,1796,1853,1853,1853,1885,1885,1885,1885,1908,1913,1913,1925,1934,1951,2026,2156,2156,2441
Lancaster,33960,35.48,42.90584,-78.6296,14086,182,183,183,184,184,184,185,185,185,188,196,196,196,198,199,199,199,206,208,209,213,213,213,215,215,218,220,221,221,223,223,224,224,224,224,224,227,227,227,229,229,229,229,235,235,240,240,240,246,248,248,248,248,248,258,258,261,262,264,264,264,264,279,283,283,287,295,295,301,302,302,304,306,311,312,312,326,326,340,343,343,343,359,367,367,367,393,393,393,442,442,442,442,442,585,585,585,585,585,585,585,585,780,780,831,831,831,831,831,982,982,982,982,982,982,982,1207,1207,1901,1901,1901,2118,2118,2118,2118,2281,2281,2281,2375,2375,2375,2375,2464,2464,2464,2464,2552,2552,2657,2657,2657,2733,2805,3304,3416,3416,3621,3645,3645,3676,3893,5977,5977,6523,6523,6523,6523,7764,7764,7764,7764,7764,8055,8055,8055,8312,8312,8312,8435,8435,8435,8435,8549,8588,8588,8620,8640,8790,9308,9764,9764,11096
Lawtons,1086,22.21,42.5386,-78.9061,14091,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,17,17,17,17,17,17,17,22,22,34,34,34,36,36,36,36,42,42,42,43,43,43,43,48,48,48,48,57,57,61,61,61,63,65,76,81,81,87,91,91,94,95,184,184,194,194,194,194,230,230,230,230,230,267,267,267,280,280,280,283,283,283,283,288,290,290,294,296,302,323,344,344,432
Marilla,1244,4.86,42.8368,-78.5573,14102,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,17,17,17,17,17,17,17,17,22,22,24,24,24,24,24,29,29,29,29,29,29,29,33,33,52,52,52,59,59,59,59,63,63,63,66,66,66,66,70,70,70,70,73,73,78,78,78,85,87,102,103,103,107,107,107,107,115,189,189,206,206,206,206,245,245,245,245,245,253,253,253,261,261,261,265,265,265,265,270,271,271,275,275,275,287,300,300,333
North Collins,3482,32.93,42.581,-78.8707,14111,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,18,20,20,21,21,21,21,21,24,24,24,24,25,25,26,26,26,27,27,28,28,28,29,29,33,33,33,33,33,33,33,33,36,36,36,43,43,43,43,43,52,52,52,52,52,52,52,52,66,66,66,66,66,66,66,69,69,69,69,69,69,69,85,85,106,106,106,117,117,117,117,126,126,126,130,130,130,130,136,136,136,136,143,143,147,147,147,154,160,209,217,217,230,230,230,233,246,495,495,516,516,516,516,601,601,601,601,601,649,649,649,667,667,667,680,680,680,680,695,696,696,703,712,721,744,784,784,881
Orchard Park,30810,40.39,42.7429,-78.7569,14127,198,198,198,200,200,200,200,200,200,201,201,202,202,202,203,203,203,209,210,211,215,217,217,219,219,223,224,228,228,230,230,232,232,232,232,232,241,241,241,243,243,243,243,247,247,248,248,248,248,249,249,249,249,249,252,251,253,257,258,258,258,258,268,267,267,274,277,277,288,287,287,288,290,301,304,304,310,310,320,318,318,318,326,332,332,332,364,364,364,416,416,416,416,416,524,524,524,524,524,524,524,524,658,658,683,683,683,683,683,784,784,784,784,784,784,784,897,897,1331,1331,1331,1503,1503,1503,1503,1620,1620,1620,1709,1709,1709,1709,1787,1787,1787,1787,1849,1849,1941,1941,1941,2023,2100,2539,2619,2619,2803,2816,2816,2830,2992,4709,4709,5179,5179,5179,5179,6265,6265,6265,6265,6265,6537,6537,6537,6702,6702,6702,6783,6783,6783,6783,6855,6897,6897,6927,6960,7079,7448,7828,7828,8996
Sardinia,139,2.42,42.5276,-78.5045,14134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,21,23,23,27,27,27,27,28,44,44,45,45,45,45,49,49,49,49,49,50,50,50,50,50,50,51,51,51,51,55,55,55,55,55,55,58,59,59,65
South Wales,2371,23.28,42.69757,-78.5433,14139,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,23,23,27,27,27,27,27,41,41,41,41,41,41,41,53,53,75,75,75,82,82,82,82,92,92,92,99,99,99,99,104,104,104,104,107,107,115,115,115,120,121,151,159,159,167,168,168,168,184,300,300,319,319,319,319,395,395,395,395,395,414,414,414,432,432,432,449,449,449,449,456,459,459,459,460,468,488,512,512,571
Springville,7799,73.22,42.5329,-78.7157,14141,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,44,44,44,45,45,45,46,46,46,46,46,47,47,47,47,47,48,48,48,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,52,52,53,53,53,53,53,53,54,54,54,54,54,56,56,56,57,57,57,57,58,58,58,74,74,74,74,74,89,89,89,89,89,89,89,89,107,107,113,113,113,113,113,121,121,121,121,121,121,121,155,155,261,261,261,288,288,288,288,301,301,301,315,315,315,315,335,335,335,335,354,354,370,370,370,387,399,460,491,491,536,540,540,547,600,1116,1116,1189,1189,1189,1189,1452,1452,1452,1452,1452,1549,1549,1549,1615,1615,1615,1648,1648,1648,1648,1698,1724,1724,1730,1738,1756,1864,2000,2000,2283
Strykersville,1405,26.97,42.7296,-78.41938,14145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tonawanda,40850,17.07,42.99298,-78.8812,14150,217,217,217,222,222,222,223,223,223,227,227,236,237,239,244,244,244,249,250,251,258,260,260,261,261,262,263,267,267,269,269,269,269,269,269,269,275,275,275,277,277,277,277,280,280,280,280,280,285,287,287,287,287,287,293,293,295,297,300,300,300,300,306,309,309,327,328,328,342,346,346,357,362,374,376,376,381,381,382,386,386,386,392,397,397,397,437,437,437,486,486,486,486,486,575,575,575,575,575,575,575,575,713,713,747,747,747,747,747,868,868,868,868,868,868,868,1054,1054,1788,1788,1788,2023,2023,2023,2023,2215,2215,2215,2361,2361,2361,2361,2482,2482,2482,2482,2560,2560,2648,2648,2648,2694,2750,3164,3346,3346,3638,3686,3686,3755,4008,6212,6212,6838,6838,6838,6838,8486,8486,8486,8486,8486,8861,8861,8861,9091,9091,9091,9222,9222,9222,9222,9345,9396,9396,9443,9476,9584,10148,10726,10726,12514
West Falls,2270,13.31,42.7087,-78.6647,14170,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,15,15,15,20,20,20,20,20,23,23,23,23,23,23,23,23,27,27,27,27,27,27,27,38,38,38,38,38,38,38,43,43,86,86,86,104,104,104,104,105,105,105,113,113,113,113,117,117,117,117,124,124,126,126,126,130,136,171,175,175,191,194,194,195,200,332,332,348,348,348,348,422,422,422,422,422,446,446,446,457,457,457,467,467,467,467,484,486,486,486,486,492,512,543,543,619
Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,146,148,150,155,157,157,164,164,164,169,172,174,174,180,192,198,198,201,204,209,214,220,220,220,220,228,228,233,233,239,239,240,240,240,240,240,244,244,244,246,246,246,246,254,254,254,254,254,257,257,257,257,257,257,263,263,263,264,266,266,266,266,274,275,275,276,276,276,279,281,281,288,292,297,300,300,308,308,317,318,318,318,321,321,321,321,329,329,329,342,342,342,342,342,366,366,366,366,366,366,366,366,391,391,406,406,406,406,406,432,432,432,432,432,432,432,473,473,624,624,624,671,671,671,671,723,723,723,771,771,771,771,806,806,806,806,832,832,863,863,863,918,946,1073,1137,1137,1302,1323,1323,1350,1422,2007,2007,2163,2163,2163,2163,2689,2689,2689,2689,2689,2820,2820,2820,2908,2908,2908,2950,2950,2950,2950,2988,3003,3003,3019,3028,3066,3194,3367,3367,3804
Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.888,-78.8762,14202,14,14,14,14,14,14,14,14,14,16,16,18,18,18,18,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,25,25,25,25,25,25,25,25,25,25,25,25,27,28,28,28,28,28,28,28,29,29,31,31,31,31,39,39,39,42,43,43,45,45,45,47,47,47,47,47,49,49,52,54,54,54,55,55,55,55,59,59,59,62,62,62,62,62,75,75,75,75,75,75,75,75,88,88,120,120,120,120,120,130,130,130,130,130,130,130,149,149,223,223,223,269,269,269,269,302,302,302,324,324,324,324,365,365,365,365,380,380,395,395,395,401,405,455,479,479,497,499,499,505,521,741,741,805,805,805,805,987,987,987,987,987,1034,1034,1034,1060,1060,1060,1073,1073,1073,1073,1079,1096,1096,1108,1111,1124,1176,1254,1254,1482
Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,18,18,18,19,20,20,20,20,20,20,21,21,21,21,21,21,21,21,22,22,22,22,22,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,28,29,29,29,29,30,30,30,30,31,31,31,31,31,31,32,34,34,34,34,34,34,35,35,35,36,38,38,38,42,42,42,48,48,48,48,48,56,56,56,56,56,56,56,56,69,69,72,72,72,72,72,81,81,81,81,81,81,81,93,93,125,125,125,135,135,135,135,144,144,144,154,154,154,154,165,165,165,165,172,172,180,180,180,184,185,212,221,221,245,246,246,248,265,382,382,433,433,433,433,555,555,555,555,555,585,585,585,621,621,621,635,635,635,635,650,654,654,655,659,668,693,739,739,918
Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,86,87,87,90,91,91,93,93,93,93,93,94,94,94,94,94,94,98,98,99,104,104,104,106,106,108,111,113,113,118,118,118,118,118,118,118,127,127,127,129,129,129,129,135,135,138,138,138,147,147,147,147,147,147,155,156,159,162,164,164,164,164,173,175,175,178,181,181,183,185,185,190,191,193,194,194,202,202,207,207,207,207,210,213,213,213,214,214,214,222,222,222,222,222,260,260,260,260,260,260,260,260,284,284,288,288,288,288,288,307,307,307,307,307,307,307,327,327,418,418,418,441,441,441,441,487,487,487,514,514,514,514,534,534,534,534,561,561,583,583,583,606,615,714,762,762,927,942,942,975,1036,1408,1408,1577,1577,1577,1577,1942,1942,1942,1942,1942,2052,2052,2052,2098,2098,2098,2118,2118,2118,2118,2138,2140,2140,2142,2146,2170,2258,2377,2377,2756
West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,111,112,112,112,112,112,113,113,113,115,119,119,119,121,122,122,122,130,131,131,131,136,136,142,142,143,147,149,149,151,151,158,158,158,158,158,162,162,162,165,165,165,165,166,166,168,168,168,173,173,173,173,173,173,184,185,188,190,190,190,190,190,193,194,194,199,202,202,208,211,211,211,212,217,218,218,222,222,231,232,232,232,240,240,240,240,244,244,244,264,264,264,264,264,304,304,304,304,304,304,304,304,376,376,395,395,395,395,395,451,451,451,451,451,451,451,514,514,795,795,795,870,870,870,870,944,944,944,1009,1009,1009,1009,1099,1099,1099,1099,1156,1156,1192,1192,1192,1220,1253,1480,1566,1566,1795,1815,1815,1859,1996,3143,3143,3379,3379,3379,3379,4218,4218,4218,4218,4218,4424,4424,4424,4536,4536,4536,4600,4600,4600,4600,4650,4665,4665,4682,4698,4751,5006,5306,5306,6159
Black Rock/Riverside/Upper West Side,24197,3.87,42.951,-78.895,14207,344,354,356,370,386,386,388,388,388,395,400,405,405,408,411,411,411,417,425,430,436,440,440,444,444,452,457,461,461,468,468,473,473,473,473,473,485,485,485,494,494,494,494,507,507,510,510,510,514,514,514,514,514,514,521,522,524,531,533,533,533,533,543,545,545,556,559,559,576,579,579,587,591,606,606,606,614,614,626,626,626,626,636,638,638,638,644,644,644,658,658,658,658,658,709,709,709,709,709,709,709,709,776,776,802,802,802,802,802,877,877,877,877,877,877,877,979,979,1294,1294,1294,1401,1401,1401,1401,1513,1513,1513,1609,1609,1609,1609,1682,1682,1682,1682,1764,1764,1815,1815,1815,1860,1894,2210,2344,2344,2647,2690,2690,2741,2855,4060,4060,4353,4353,4353,4353,5490,5490,5490,5490,5490,5690,5690,5690,5842,5842,5842,5893,5893,5893,5893,5951,5984,5984,6008,6024,6076,6305,6654,6654,7574
Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,194,199,199,199,199,199,199,199,199,199,199,207,207,209,209,209,209,209,213,215,216,217,217,218,218,219,221,223,223,225,225,227,227,227,227,227,230,230,230,232,232,232,232,240,240,240,240,240,244,244,244,244,244,244,252,252,256,260,261,261,261,261,279,281,281,288,290,290,296,298,298,301,302,303,303,303,306,306,310,311,311,311,314,317,317,317,335,335,335,353,353,353,353,353,396,396,396,396,396,396,396,396,432,432,441,441,441,441,441,475,475,475,475,475,475,475,520,520,628,628,628,671,671,671,671,717,717,717,749,749,749,749,775,775,775,775,805,805,828,828,828,847,859,943,1006,1006,1165,1190,1190,1212,1282,1700,1700,1869,1869,1869,1869,2373,2373,2373,2373,2373,2466,2466,2466,2516,2516,2516,2536,2536,2536,2536,2559,2575,2575,2580,2582,2611,2692,2856,2856,3284
Delaware (Main - Allen to Park),8509,1.14,42.917,-78.864,14209,196,197,197,197,198,198,201,201,201,201,201,206,206,207,209,209,209,210,211,211,213,214,214,216,216,218,218,218,218,220,220,220,220,220,220,220,226,226,226,227,227,227,227,228,228,228,228,228,229,229,229,229,229,229,237,238,238,242,243,243,243,243,247,247,247,250,249,249,258,258,258,265,270,278,280,280,281,281,287,288,288,288,292,294,294,294,310,310,310,320,320,320,320,320,347,347,347,347,347,347,347,347,394,394,407,407,407,407,407,432,432,432,432,432,432,432,474,474,555,555,555,587,587,587,587,623,623,623,650,650,650,650,671,671,671,671,691,691,706,706,706,714,724,789,819,819,875,886,886,898,957,1255,1255,1386,1386,1386,1386,1694,1694,1694,1694,1694,1760,1760,1760,1807,1807,1807,1829,1829,1829,1829,1863,1874,1874,1884,1893,1923,2000,2119,2119,2454
Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,81,83,83,83,83,83,84,84,84,84,84,85,85,88,88,88,88,92,93,94,95,95,95,96,96,97,100,101,101,103,103,103,103,103,103,103,108,108,108,110,110,110,110,116,116,119,119,119,124,126,126,126,126,126,131,131,131,131,132,132,132,132,136,136,136,142,144,144,147,148,148,150,150,152,154,154,155,155,163,165,165,165,168,169,169,169,183,183,183,201,201,201,201,201,230,230,230,230,230,230,230,230,276,276,283,283,283,283,283,314,314,314,314,314,314,314,372,372,552,552,552,603,603,603,603,660,660,660,695,695,695,695,743,743,743,743,782,782,800,800,800,819,842,1014,1060,1060,1201,1214,1214,1237,1298,2131,2131,2309,2309,2309,2309,2869,2869,2869,2869,2869,3038,3038,3038,3132,3132,3132,3155,3155,3155,3155,3192,3214,3214,3225,3238,3274,3434,3631,3631,4204
MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,243,248,249,255,255,255,258,258,258,262,267,267,267,270,273,273,273,279,282,283,287,289,289,290,290,293,296,296,296,304,304,305,305,305,305,305,315,315,315,320,320,320,320,323,323,328,328,328,336,342,342,342,342,342,355,364,372,376,389,389,389,389,401,403,403,408,409,409,427,432,432,440,441,447,449,449,454,454,474,476,476,476,484,486,486,486,519,519,519,536,536,536,536,536,585,585,585,585,585,585,585,585,655,655,673,673,673,673,673,715,715,715,715,715,715,715,783,783,1107,1107,1107,1196,1196,1196,1196,1293,1293,1293,1344,1344,1344,1344,1405,1405,1405,1405,1452,1452,1502,1502,1502,1537,1569,1842,1989,1989,2327,2399,2399,2456,2626,3745,3745,4104,4104,4104,4104,5253,5253,5253,5253,5253,5514,5514,5514,5615,5615,5615,5680,5680,5680,5680,5730,5744,5744,5758,5769,5814,6036,6339,6339,7220
Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,120,121,125,127,128,128,128,128,128,131,131,132,132,135,137,137,137,141,141,141,142,143,143,144,144,145,146,146,146,147,147,147,147,147,147,147,148,148,148,150,150,150,150,150,150,155,155,155,156,156,156,156,156,156,158,158,159,163,164,164,164,164,169,171,171,173,176,176,180,181,181,181,189,193,195,195,200,200,209,219,219,219,228,233,233,233,246,246,246,261,261,261,261,261,294,294,294,294,294,294,294,294,321,321,330,330,330,330,330,358,358,358,358,358,358,358,391,391,548,548,548,578,578,578,578,608,608,608,655,655,655,655,690,690,690,690,704,704,723,723,723,740,766,890,934,934,1052,1088,1088,1119,1204,1784,1784,1928,1928,1928,1928,2396,2396,2396,2396,2396,2519,2519,2519,2580,2580,2580,2624,2624,2624,2624,2674,2689,2689,2696,2698,2717,2835,2983,2983,3390
West Side,26700,2.82,42.9166,-78.8919,14213,270,275,283,304,313,313,319,319,319,334,340,348,348,351,352,352,352,360,365,373,378,385,385,389,389,400,400,402,402,409,409,409,409,409,409,409,422,422,422,427,427,427,427,433,433,433,433,433,440,441,441,441,441,441,446,447,457,459,469,469,469,469,476,477,477,483,483,483,490,492,492,500,514,523,527,527,547,547,555,557,557,557,567,570,570,570,582,582,582,602,602,602,602,602,665,665,665,665,665,665,665,665,724,724,741,741,741,741,741,798,798,798,798,798,798,798,908,908,1164,1164,1164,1252,1252,1252,1252,1321,1321,1321,1396,1396,1396,1396,1454,1454,1454,1454,1503,1503,1547,1547,1547,1604,1634,1916,2021,2021,2308,2338,2338,2378,2513,3674,3674,3956,3956,3956,3956,5003,5003,5003,5003,5003,5224,5224,5224,5345,5345,5345,5390,5390,5390,5390,5465,5493,5493,5515,5538,5603,5819,6125,6125,6995
