Name,Population,Sq Mi,X,Y,Zip Code,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,7/6/20,7/7/20,7/9/20,7/10/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/23/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/12/20,8/13/20,8/14/20,8/16/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/26/20,8/28/20,8/31/20,9/2/20,9/3/20,9/6/20,9/7/20,9/8/20,9/9/20,9/13/20,9/15/20,9/16/20,9/18/20,9/21/20,9/23/20,9/24/20,9/29/20,10/5/20,10/6/20,10/7/20,10/11/20,10/12/20,10/13/20,10/19/20,10/21/20,10/22/20,10/23/20,10/26/20,10/28/20,10/29/20,10/30/20,11/4/20,11/6/20,11/8/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/2020,11/24/2020
Collins,1922,26.0,42.49089,-78.8573,14034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.3,0.3,0.1,0.1,0.1,0.3,0.3
Cowlesville,1081,17.91,42.8054,-78.4507,14037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depew,25714,9.15,42.89925,-78.70735,14043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.4,0.5,0.6,0.6,0.5,0.7,0.7,0.6,0.8,1.0,1.0,0.7,0.6,0.8,0.9,0.9,0.9,1.1,0.9,0.7,0.7,0.7,0.7,0.5,0.6,0.4,0.4,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.6,1.3,1.4,1.5,1.6,1.3,1.3,1.3,1.3,2.2,2.2,1.5,1.6,1.5,1.4,1.5,1.7,1.7,2.0,1.3,1.5,1.7,1.4,1.5,1.5,2.0,1.9,1.9,1.6,1.6,2.2,2.0,2.0,3.5,3.5,2.7,6.1,6.1,6.1,5.9,5.1,12.0,12.0,10.4,10.4,10.4,6.9,6.9,6.9,16.8,16.8
Derby,6463,12.32,42.69266,-78.9934,14047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.2,0.5,0.6,0.6,0.6,0.8,0.8,0.8,1.6,1.6,1.6,1.3,1.1,3.8,3.8,3.6,3.6,3.6,2.7,2.7,2.7,5.6,5.6
East Amherst,20690,16.19,43.0442,-78.695,14051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.5,0.9,0.9,0.9,0.7,1.3,1.4,1.6,1.9,1.8,1.8,1.5,1.5,1.9,2.1,1.7,1.6,1.7,1.4,1.3,1.3,1.2,1.2,0.8,1.2,1.0,1.0,0.7,0.7,0.6,0.6,1.1,1.1,1.5,0.9,0.9,1.2,1.3,1.3,1.3,1.3,0.8,0.9,0.5,0.6,1.0,0.8,0.7,0.7,0.7,1.6,1.7,1.6,2.1,2.1,1.7,1.9,2.0,2.0,2.3,1.7,1.7,1.9,1.4,1.6,1.6,1.9,1.8,1.8,1.5,2.5,3.0,2.8,2.8,3.9,3.9,3.3,5.8,5.8,5.8,4.5,3.9,9.3,9.3,7.9,7.9,7.9,5.4,5.4,5.4,11.9,11.9
East Aurora,17482,62.71,42.775,-78.5753,14052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.3,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.1,0.1,0.1,0.7,0.6,0.6,0.7,0.7,0.7,0.7,1.1,1.1,1.2,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.1,0.3,0.3,0.4,0.6,0.8,0.8,0.8,0.8,1.1,1.2,1.0,1.2,1.1,0.9,1.4,1.7,1.7,1.8,1.5,1.7,1.7,1.4,1.7,1.7,2.3,1.9,1.9,1.8,2.0,1.8,1.8,1.8,2.6,2.6,1.3,3.5,3.5,3.5,3.3,3.2,6.5,6.5,5.4,5.4,5.4,3.3,3.3,3.3,6.9,6.9
East Concord,1312,29.7,42.5468,-78.5954,14055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.2,0.2,0.2,0.4,0.4
Eden,7934,48.1,42.652283000000004,-78.89698,14057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.7,0.7,1.0,1.1,1.1,1.3,1.3,1.3,1.3,1.3,0.8,0.6,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,4.1,4.1,4.1,4.1,4.3,4.3,4.3,4.3,4.3,0.2,0.5,0.5,0.6,0.6,0.4,0.4,0.4,0.4,0.3,0.3,0.0,0.2,0.2,0.2,0.4,0.5,0.5,0.7,0.8,0.8,0.7,0.5,0.4,0.4,0.2,0.1,0.1,-0.1,0.0,0.0,0.1,0.1,0.3,0.3,0.3,1.4,1.4,1.4,1.3,1.3,4.3,4.3,4.1,4.1,4.1,3.0,3.0,3.0,9.4,9.4
Elma,9381,26.72,42.8255,-78.62666,14059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.9,0.6,0.6,0.8,0.8,0.8,0.9,0.9,0.9,0.7,0.5,0.3,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.4,0.6,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.7,1.0,0.8,0.7,0.7,1.0,1.0,0.8,3.2,3.2,3.2,2.9,2.9,6.9,6.9,6.6,6.6,6.6,4.0,4.0,4.0,7.0,7.0
Getzville,8374,3.8,43.0269,-78.762,14068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,0.5,0.4,0.4,0.2,0.4,0.4,0.3,0.5,0.5,0.5,0.4,0.4,0.6,0.6,0.5,0.5,0.5,0.3,0.4,0.4,0.4,0.4,0.2,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.2,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.3,0.4,0.3,0.3,0.6,0.6,0.7,0.6,0.8,0.9,0.8,0.7,0.7,1.2,0.9,0.9,0.8,0.9,0.8,0.7,0.7,1.3,1.3,0.8,1.9,1.9,1.9,1.8,1.7,5.0,5.0,4.4,4.4,4.4,3.3,3.3,3.3,6.5,6.5
