Name,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,7/6/20,7/7/20,7/9/20,7/10/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/23/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/12/20,8/13/20,8/14/20,8/16/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/26/20,8/28/20,8/31/20,9/2/20,9/3/20,9/6/20,9/7/20,9/8/20,9/9/20,9/13/20,9/15/20,9/16/20,9/18/20,9/21/20,9/23/20,9/24/20,9/29/20,10/5/20,10/6/20,10/7/20,10/11/20,10/12/20,10/13/20,10/19/20,10/21/20,10/22/20,10/23/20,10/26/20,10/28/20,10/29/20,10/30/20,11/4/20,11/6/20,11/8/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/9/2020,1/6/2021,1/8/2021,1/10/2021,1/11/2021,1/12/2021,1/14/2021,1/15/2021,1/21,1/23,1/24,1/25,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/4/2021,2/6/2021,2/7/2021,2/9/2021,2/11/2021,2/16/2021,2/17/2021,2/22/2021,2/24/2021,3/2/2021,4/12/2021,4/14/2021,4/18/2021,5/9/2021,5/11/2021,5/15/2021,5/26/2021,9/3/2021,12/31/2021,1/3/2021,1/6/2022,1/10/2022,1/13/2022,1/18/2022,1/19/2022,1/21/2022,1/24/2022,1/25/2022,1/26/2022,1/27/2022,1/28/2022,1/31/2022,2/2/2022,2/4/2022,2/7/2022,2/10/2022,2/11/2022,2/16/2022,2/19/2022,2/25/2022,3/10/2022,3/14/2022,3/22/2022,4/7/2022,4/14/2022,5/9/2022,5/26/2022,5/31/2022,12/5/2022
Collins,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,30,0,0,13,0,0,0,17,0,0,14,0,0,0,20,0,0,0,17,0,28,0,0,5,2,35,11,0,15,1,0,2,14,145,0,16,0,0,0,78,0,0,0,0,51,0,0,12,0,0,16,0,0,0,12,7,0,2,1,2,16,34,0,97
Cowlesville,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
Depew,0.0,3,1,2,0,0,1,0,0,1,0,0,0,3,1,0,0,2,0,0,2,2,0,0,0,2,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,1,0,0,5,0,0,0,0,0,7,2,1,1,2,0,0,0,9,0,0,3,0,0,3,2,0,3,2,2,2,0,1,0,8,1,0,0,2,8,0,0,16,0,0,35,0,0,0,0,69,0,0,0,0,0,0,0,99,0,26,0,0,0,0,93,0,0,0,0,0,0,103,0,430,0,0,143,0,0,0,98,0,0,98,0,0,0,83,0,0,0,47,0,57,0,0,39,36,276,78,0,139,25,0,17,154,1366,0,286,0,0,0,934,0,0,0,0,218,0,0,169,0,0,95,0,0,0,68,39,0,21,10,77,322,336,0,963
Derby,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,3,2,0,0,2,0,0,9,0,0,0,0,27,0,0,0,0,0,0,0,29,0,6,0,0,0,0,12,0,0,0,0,0,0,40,0,84,0,0,35,0,0,0,23,0,0,22,0,0,0,21,0,0,0,12,0,10,0,0,8,16,98,25,0,37,7,0,9,33,377,0,73,0,0,0,170,0,0,0,0,83,0,0,41,0,0,16,0,0,0,28,5,0,12,10,16,52,97,0,241
East Amherst,0.0,1,0,0,0,0,2,0,0,0,0,3,0,4,0,0,0,6,1,2,3,2,0,1,0,4,2,2,0,3,0,1,0,0,0,0,6,0,0,0,0,0,0,5,0,4,0,0,3,1,0,0,0,0,1,0,1,4,1,0,0,0,9,1,0,5,1,0,3,1,0,3,3,1,2,0,3,0,6,0,0,0,13,6,0,0,14,0,0,25,0,0,0,0,54,0,0,0,0,0,0,0,65,0,21,0,0,0,0,53,0,0,0,0,0,0,91,0,301,0,0,96,0,0,0,85,0,0,63,0,0,0,61,0,0,0,46,0,36,0,0,28,40,203,53,0,94,15,0,14,108,1005,0,303,0,0,0,688,0,0,0,0,122,0,0,145,0,0,51,0,0,0,47,27,0,20,19,81,253,280,0,818
East Aurora,0.0,2,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,0,3,1,0,3,0,0,7,3,0,1,0,3,0,0,3,0,13,-1,0,0,2,1,0,0,11,0,0,21,0,0,0,0,33,0,0,0,0,0,0,0,36,0,28,0,0,0,0,57,0,0,0,0,0,0,76,0,228,0,0,87,0,0,0,79,0,0,58,0,0,0,51,0,0,0,31,0,80,0,0,41,36,232,61,0,100,11,0,11,96,858,0,267,0,0,0,531,0,0,0,0,125,0,0,101,0,0,60,0,0,0,54,22,0,20,14,51,191,170,0,532
East Concord,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,13,0,0,7,0,0,0,5,0,0,8,0,0,0,1,0,0,0,1,0,2,0,0,3,2,15,1,0,15,2,0,4,9,84,0,7,0,0,0,59,0,0,0,0,8,0,0,11,0,0,10,0,0,0,8,3,0,0,0,2,20,22,0,38
Eden,0.0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,-1,0,0,2,1,0,2,1,0,2,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,11,0,0,0,0,30,0,0,0,0,0,0,0,64,0,15,0,0,0,0,30,0,0,0,0,0,0,39,0,103,0,0,20,0,0,0,12,0,0,15,0,0,0,34,0,0,0,24,0,23,0,0,25,24,86,27,0,42,9,0,7,40,465,0,81,0,0,0,255,0,0,0,0,98,0,0,42,0,0,21,0,0,0,21,6,0,7,3,20,101,88,0,289
Elma,0.0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,2,2,0,0,3,0,0,0,3,0,0,26,0,0,0,0,40,0,0,0,0,0,0,0,30,0,15,0,0,0,0,29,0,0,0,0,0,0,47,0,158,0,0,56,0,0,0,56,0,0,42,0,0,0,25,0,0,0,34,0,26,0,0,19,30,114,23,0,36,4,0,4,55,469,0,119,0,0,0,294,0,0,0,0,52,0,0,42,0,0,44,0,0,0,32,10,0,12,9,23,110,112,0,304
Getzville,0.0,0,2,2,1,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,3,0,1,0,2,1,0,0,0,5,0,0,0,1,1,0,0,6,0,0,11,0,0,0,0,33,0,0,0,0,0,0,0,32,0,4,0,0,0,0,25,0,0,0,0,0,0,31,0,99,0,0,51,0,0,0,33,0,0,29,0,0,0,16,0,0,0,14,0,18,0,0,13,20,60,9,0,35,2,0,2,30,316,0,88,0,0,0,268,0,0,0,0,42,0,0,45,0,0,14,0,0,0,36,13,0,8,3,14,102,121,0,309
Glenwood,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,5,0,0,3,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,4,0,0,3,1,7,1,0,0,1,0,0,1,47,0,8,0,0,0,24,0,0,0,0,5,0,0,0,0,0,5,0,0,0,1,2,0,0,1,2,9,11,0,28
Gowanda,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,2,0,-1,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,5,0,4,0,0,0,0,8,0,0,0,0,0,0,14,0,71,0,0,9,0,0,0,43,0,0,15,0,0,0,23,0,0,0,14,0,18,0,0,6,1,41,3,0,23,1,0,6,7,183,0,41,0,0,0,59,0,0,0,0,64,0,0,22,0,0,17,0,0,0,8,8,0,5,0,6,24,36,0,125
Grand Island,0.0,2,0,3,2,0,2,0,0,3,0,0,0,1,0,0,0,10,4,2,0,5,0,1,0,2,1,4,0,2,0,3,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,-1,0,4,10,0,0,0,5,-1,0,1,2,0,3,0,0,9,3,3,1,0,4,0,5,0,0,0,6,5,0,0,25,0,0,32,0,0,0,0,60,0,0,0,0,0,0,0,65,0,15,0,0,0,0,64,0,0,0,0,0,0,134,0,374,0,0,147,0,0,0,105,0,0,94,0,0,0,57,0,0,0,66,0,55,0,0,33,32,202,74,0,109,21,0,22,101,1241,0,303,0,0,0,865,0,0,0,0,165,0,0,152,0,0,80,0,0,0,66,51,0,41,14,54,261,283,0,916
Hamburg,0.0,1,0,0,0,0,0,0,0,0,0,10,0,5,7,0,0,7,0,4,4,5,0,4,0,0,1,1,0,2,0,1,0,0,0,0,13,0,0,4,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,1,2,5,1,0,0,0,5,2,0,13,2,0,13,2,0,12,4,3,5,0,5,0,6,4,0,0,23,12,0,0,49,0,0,101,0,0,0,0,232,0,0,0,0,0,0,0,233,0,71,0,0,0,0,159,0,0,0,0,0,0,237,0,564,0,0,215,0,0,0,162,0,0,142,0,0,0,119,0,0,0,144,0,121,0,0,85,82,533,131,0,206,31,0,17,234,2484,0,590,0,0,0,1521,0,0,0,0,404,0,0,269,0,0,127,0,0,0,164,69,0,41,34,139,589,678,0,1881
