,Name,Population,Sq Mi,X,Y,Zip Code,Date,Average Daily
76,Collins,1922,26.0,42.49089,-78.8573,14034,6/10/20,0.0
77,Cowlesville,1081,17.91,42.8054,-78.4507,14037,6/10/20,0.0
78,Depew,25714,9.15,42.89925,-78.70735,14043,6/10/20,0.0
79,Derby,6463,12.32,42.69266,-78.9934,14047,6/10/20,0.0
80,East Amherst,20690,16.19,43.0442,-78.695,14051,6/10/20,0.0
81,East Aurora,17482,62.71,42.775,-78.5753,14052,6/10/20,0.0
82,East Concord,1312,29.7,42.5468,-78.5954,14055,6/10/20,0.0
83,Eden,7934,48.1,42.652283000000004,-78.89698,14057,6/10/20,0.0
84,Elma,9381,26.72,42.8255,-78.62666,14059,6/10/20,0.0
85,Getzville,8374,3.8,43.0269,-78.762,14068,6/10/20,0.0
86,Glenwood,678,5.42,42.6057,-78.6191,14069,6/10/20,0.0
87,Gowanda,7706,44.41,42.44377,-78.90769,14070,6/10/20,0.0
88,Grand Island,20809,33.26,43.0119,-78.9559,14072,6/10/20,0.0
89,Hamburg,43111,38.97,42.716,-78.82434,14075,6/10/20,0.0
90,Holland,4460,50.61,42.6405,-78.5435,14080,6/10/20,0.0
91,Irving,3204,40.63,42.4617,-79.027,14081,6/10/20,0.0
92,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,6/10/20,0.0
93,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,6/10/20,0.0
94,Lawtons,1086,22.21,42.5386,-78.9061,14091,6/10/20,0.0
95,Marilla,1244,4.86,42.8368,-78.5573,14102,6/10/20,0.0
96,North Collins,3482,32.93,42.581,-78.8707,14111,6/10/20,0.0
97,Orchard Park,30810,40.39,42.7429,-78.7569,14127,6/10/20,0.0
98,Sardinia,139,2.42,42.5276,-78.5045,14134,6/10/20,0.0
99,South Wales,2371,23.28,42.69757,-78.5433,14139,6/10/20,0.0
100,Springville,7799,73.22,42.5329,-78.7157,14141,6/10/20,0.0
101,Strykersville,1405,26.97,42.7296,-78.41938,14145,6/10/20,0.0
102,Tonawanda,40850,17.07,42.992979999999996,-78.8812,14150,6/10/20,0.0
103,West Falls,2270,13.31,42.7087,-78.6647,14170,6/10/20,0.0
104,Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,6/10/20,0.0
105,Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,6/10/20,0.0
106,Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,6/10/20,0.0
107,Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,6/10/20,0.0
108,West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,6/10/20,0.0
109,Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,6/10/20,0.0
110,Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,6/10/20,0.0
111,Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,6/10/20,0.0
112,Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,6/10/20,0.0
113,MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,6/10/20,0.0
114,Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,6/10/20,0.0
115,West Side,26700,2.82,42.9166,-78.8919,14213,6/10/20,0.0
116,South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,6/10/20,0.0
117,South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,6/10/20,0.0
118,Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,6/10/20,0.0
119,North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,6/10/20,0.0
120,Lackawana,18590,8.07,42.8155,-78.8112,14218,6/10/20,0.0
121,Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,6/10/20,0.0
122,South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,6/10/20,0.0
123,Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,6/10/20,0.0
124,Elmwood Village,12807,1.02,42.9178,-78.8747,14222,6/10/20,0.0
125,South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,6/10/20,0.0
126,West Seneca,41070,20.19,42.83744,-78.7429,14224,6/10/20,0.0
127,Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,6/10/20,0.0
